id_block,id_plot,tree_richness,sample,year
I,7,div,4,2022
I,8,tri,10,2022
I,10,hexa,I07,2022
I,11,tri,16,2022
I,13,hexa,13,2022
I,14,hexa,I22,2022
I,16,tri,19,2022
I,17,mono,28,2022
I,18,mono,25,2022
I,19,hexa,37,2022
I,21,mono,34,2022
I,22,mono,43,2022
I,23,mono,46,2022
I,25,mono,52,2022
I,26,tri,49,2022
I,27,pasture,P66,2022
I,28,tri,55,2022
I,29,alt_div,58,2022
I,30,mono,61,2022
I,31,mono,67,2022
I,32,tri,70,2022
I,33,mono,73,2022
I,34,mono,76,2022
I,35,tri,79,2022
I,36,hexa,85,2022
I,37,hexa,82,2022
I,38,tri,88,2022
I,39,mono,94,2022
I,41,hexa,97,2022
I,42,pasture,2,2022
I,45,mono,40,2022
I,48,alt_div,91,2022
II,67,alt_div,175,2022
II,82,div,166,2022
II,87,alt_div,149,2022
III,121,div,295,2022
III,126,alt_div,274,2022
III,134,alt_div,271,2022
IV,146,div,319,2022
IV,176,alt_div,373,2022
I,27,pasture,64,2022
F,15,forest,F90,2023
F,17,forest,F93,2023
F,18,forest,F96,2023
F,19,forest,F99,2023
F,20,forest,F102,2023
F,22,forest,F105,2023
F,23,forest,F108,2023
P,27,pasture,P37,2023
P,42,pasture,P65,2023
P,89,pasture,P154,2023
P,81,pasture,P160,2023
G,42,pasture,G42,2023
G,45,mono,G45,2023
G,48,alt_div,G48,2023
G,7,div,G07,2023
G,27,pasture,G27,2023
I,8,tri,I01,2023
I,10,hexa,I03,2023
I,7,div,I05,2023
I,11,tri,I08,2023
I,13,hexa,I09,2023
I,14,hexa,I11,2023
I,16,tri,I13,2023
I,17,mono,I15,2023
I,18,mono,I17,2023
I,19,hexa,I19,2023
I,21,mono,I21,2023
I,20,hexa,I23,2023
I,22,mono,I25,2023
I,23,mono,I28,2023
I,25,mono,I29,2023
I,26,tri,I31,2023
I,28,tri,I33,2023
I,29,alt_div,I35,2023
I,30,mono,I39,2023
I,31,mono,I41,2023
I,32,tri,I43,2023
I,33,mono,I46,2023
I,34,mono,I47,2023
I,35,tri,I49,2023
I,36,hexa,I51,2023
I,37,hexa,I53,2023
I,38,tri,I55,2023
I,39,mono,I57,2023
I,45,mono,I59,2023
I,41,hexa,I61,2023
I,48,alt_div,I63,2023
II,67,alt_div,II73,2023
II,82,div,II75,2023
II,87,alt_div,II77,2023
III,121,div,III67,2023
III,134,alt_div,III69,2023
III,126,alt_div,III71,2023
IV,146,div,IV79,2023
IV,176,alt_div,IV81,2023
