sample,richness,shannon
F90,57,9.289575849189134
F93,72,16.815682765681455
F96,78,16.121987143316964
F99,55,12.328108016661048
F102,54,9.141225647971915
F105,56,8.612454431077717
F108,60,10.609445172000846
P37,50,11.865888269340257
P65,55,12.615162774849608
P154,52,8.95241054797994
P160,60,12.64471613027904
G42,55,13.154181850696062
G45,53,12.619500874322172
G48,54,12.576729636921325
G07,55,13.799988554390572
G27,62,14.574031391171188
I01,49,11.908601330771013
I03,68,14.635748006173158
I05,53,11.949586065257472
I08,58,12.902453202658089
I09,51,11.846338602707096
I11,60,11.900828668119601
I13,57,11.367587358722854
I15,57,13.467112752529605
I17,52,12.149807079471255
I19,51,11.630949922718806
I21,56,12.612537084219207
I23,57,12.45605635951275
I25,54,12.785216831778394
I28,55,13.030710744280372
I29,63,13.097283260815042
I31,68,15.884650528014111
I33,60,15.228075742573813
I35,57,13.146194558740852
I39,55,12.833843126311042
I41,67,12.767196714658011
I43,59,12.954476146812407
I46,55,13.8860088240658
I47,59,13.2153955552953
I49,67,13.35320605344625
I51,64,14.588622322934716
I53,62,13.741690621579576
I55,77,14.029249973406962
I57,58,12.516527332650886
I59,52,13.583477220856189
I61,57,12.726568340006729
I63,73,13.363372802181631
II73,61,13.221417359766152
II75,56,11.37842458267212
II77,58,11.080839387993278
III67,62,12.070807725966754
III69,56,12.79978216162047
III71,61,12.34991295587348
IV79,64,13.53916009887716
IV81,66,13.71263487238955
