id_block,id_plot,riqueza,id_micro,CH4,CO2,ph ,condutividade ,umidade,materia_organica,materia_inorganica,sobrevivencia
I,7,div,4,-1.88666666666667,48429.8866666667,4.4,0.03,0.0757466251590908,0.0403993011847817,0.00416542695626307,22
I,8,tri,10,-7.14,41810.1866666667,4.4,0.06,0.0802349594910472,0.0492159902620768,0.00405883876910681,27
I,10,hexa,7,-4.35666666666667,36990.2833333333,4.5,0.12,0.0763939402997964,0.0394611448155326,0.00290573270855285,37
I,11,tri,16,-1.40333333333333,34498.7166666667,4.9,0.02,0.083864576313008,0.0477607020393069,0.0244451501642139,40
I,13,hexa,13,-4.1,33340.3033333333,4.5,0.04,0.0869561947451744,0.0461897093528499,0.00395382264634292,36
I,14,hexa,22,-1.11,45248.6,4.7,0.02,0.090666780805927,0.0428806778065427,0.00467275722629929,40
I,16,tri,19,-5.39,65461.2533333333,4.1,0.06,0.0876158059557897,0.0419567199230352,0.0046842638143771,24
I,17,mono,28,5.64,69766.7933333333,4.7,0.02,0.0856015097549306,0.0366808133366277,0.00409865848872869,48
I,18,mono,25,4.27666666666667,40449.42,4.2,0.03,0.1868915129513,-0.0821184696592642,0.0106862078170342,44
I,19,hexa,37,2.60333333333333,66416.69,4.1,0.08,0.0855188700599073,0.0429855573477664,0.00482659329144774,40
I,21,mono,34,-1.56666666666667,37551.6533333333,4.7,0.03,0.0798009069947266,0.0406561919217536,0.00333092346067797,46
I,22,mono,43,-3.58333333333333,42270.52,4.4,0.04,0.0816304274249957,0.0422831076405239,0.00442240521516232,38
I,23,mono,46,0.873333333333334,38515.2733333333,4.3,0.04,0.0780835593169829,0.043112156254293,0.00419808156965433,47
I,25,mono,52,-6.94333333333333,25119.8566666667,4.3,0.05,0.0896794060415996,0.0399908687170547,0.00367326609388618,44
I,26,tri,49,-2.21333333333333,22759.4166666667,4.2,0.04,0.0887741701075994,0.039665233734139,0.00543683674952757,48
I,27,pasto,64,-0.396666666666667,29415.3633333333,4.8,0.01,0.0851267336202774,0.0406471847967218,0.00357064566716699,0
I,28,tri,55,-1.79666666666667,20443.1966666667,4.3,0.05,0.0659798623799712,0.0454136802936843,0.00255974827060904,47
I,29,alt_div,58,1.94333333333333,21557.83,4.1,0.03,0.0816491008125587,0.0426841676841676,0.0409077804911138,28
I,30,mono,61,-1.22666666666667,24240.44,4.1,0.04,0.0790418194198138,0.0380904245543098,0.00498738534026175,41
I,31,mono,67,3.91666666666667,40015.1133333333,4.2,0.06,0.0737592594737106,0.0419585665406688,0.00273805902038331,43
I,32,tri,70,6.44,171363.333333333,4.3,0.04,0.0503381595239799,0.0417631019942298,0.00246900859199125,38
I,33,mono,73,-4.24333333333333,30530.9566666667,4.5,0.04,0.0845335026800632,0.0397757068002296,0.00428188601181751,44
I,34,mono,76,2.07,28792.47,4.3,0.05,0.0629110463947089,0.0481224342186314,0.00238048873540023,45
I,35,tri,79,0.556666666666667,4571.61666666667,4.3,0.03,0.0875754342388357,0.0368771375550205,0.00298682575955093,41
I,36,hexa,85,9.73333333333333,1526.74,4.5,0.05,0.19118977216289,0.0414753665033245,0.00638864602183769,42
I,37,hexa,82,-4.78666666666667,12234.7666666667,4,0.06,0.0496533683015879,0.0373287479337686,0.00262656543299804,32
I,38,tri,88,-2.96333333333333,19555.7166666667,4.5,0.04,0.0667179842846147,0.0435180270303377,0.0030990976277,41
I,39,mono,94,-4.17333333333333,20842.12,4.5,0.04,0.053184352132354,0.0377120733422211,0.00243987070146285,42
I,41,hexa,97,0.59,5653.7,4.4,0.04,0.0780026146548768,0.0423172321359252,0.00650122791891235,41
I,42,pasto,2,0.45,565.516666666667,4.5,0.03,0.0823464647278392,0.0316043602311801,0.00381886019460099,0
I,45,mono,40,0.6,33953.17,4.1,0.04,0.0852131741219075,0.0385961392285403,0.00458384618649464,46
I,48,alt_div,91,-1.03,11847.1,4.2,0.04,0.0562100472552054,0.0487716718488793,0.00559021773507868,35
II,67,alt_div,175,23.3033333333333,66062.6866666667,4.7,0.04,0.0851943264293021,0.0482432540727426,0.00378176433998481,39
II,82,div,166,-1.44,48205.2233333333,4.5,0.03,0.0715117710388718,0.0583681917297547,0.00320552141169578,32
II,87,alt_div,149,4.78666666666667,47495.2033333333,4.4,0.04,0.0853878850280792,0.0507086510269975,0.00517519370894391,38
III,121,div,295,-0.686666666666667,68536.64,4.4,0.03,0.0661767554291824,0.0489174849310749,0.00405709805483303,20
III,126,alt_div,274,2,33391.52,4.2,0.03,0.0759074040550326,0.0527660442811959,0.00325681052953775,25
III,134,alt_div,271,-4.84,37960.7633333333,4.3,0.03,0.0686995421661482,0.0478960344950521,0.0025481005580302,48
IV,146,div,319,0.148518518518518,37667.715462963,4.4,0.04,0.0833100744314585,0.0392781474758175,0.00576968617205868,29
IV,176,alt_div,373,5.50666666666667,45435.75,4.5,0.02,0.0900506625993517,0.0510773066491467,0.00323444685904896,28
